"CSCN","Drug","Class","CSA Schedule","Narcotic","Other Names"
"9842","beta'-Phenyl fentanyl (N-(1-phenethylpiperidin-4-yl)-N,3-diphenylpropanamide; also known as β'-phenylfentanyl; 3-phenylpropanoyl fentanyl)","opioid","I","Y",""
"9831","Beta-hydroxy-3-methylfentanyl","opioid","I","Y","China White, fentanyl"
"9830","Beta-hydroxyfentanyl","opioid","I","Y","China White, fentanyl"
"9836","Beta-hydroxythiofentanyl","opioid","I","Y","N-[1-[2-hydroxy-2-(thiophen-2-yl)ethyl]piperidin-4-yl]- N-phenylpropionamide, N-[1-[2-hydroxy-2-(2- thienyl)ethyl]-4-piperidinyl]-N-phenylpropanamide"
"9856","beta-Methyl fentanyl (N-phenyl-N-(1-(2-phenylpropyl)piperidin-4-yl)propionamide; also knownas β-methyl fentanyl)","opioid","I","Y",""
"9607","Betacetylmethadol","opioid","I","Y",""
"9608","Betameprodine","opioid","I","Y",""
"9609","Betamethadol","opioid","I","Y",""
"9611","Betaprodine","opioid","I","Y",""
"9800","Bezitramide","opioid","II","Y","Burgodin"
"4000","bolasterone (7α,17α-dimethyl-17β-hydroxyandrost-4-en-3-one)","steroid","III","N",""
"4000","boldenone (17β-hydroxyandrost-1,4-diene-3-one)","steroid","III","N","Equipoise, Parenabol, Vebonol, dehydrotestosterone"
"4000","boldione (androsta-1,4-diene-3,17-dione)","steroid","III","N",""
"2400","Brexanolone (3α-hydroxy-5α-pregnan-20-one)","depressant","IV","N","Allopregnanolone"
"2710","Brivaracetam","other","V","N","BRV, UCB-34714, Briviact, ((2S)-2-[(4R)-2-oxo-4- propylpyrrolidin-1-yl] butanamide)"
"2748","Bromazepam","depressant","IV","N","Lexotan, Lexatin, Lexotanil"
"9098","Brorphine (1-(1-(1-(4-bromophenyl)ethyl)piperidin-4-yl)-1,3-dihydro-2H-benzo[d]imidazol-2-one)","opioid","I","Y","1-[1-[1-(4-bromophenyl)ethyl]-4-piperidinyl]-1,3- dihydro-2H-benzimidazol-2-one)"
"7433","Bufotenine","hallucinogen","I","N","Mappine, N,N-dimethylserotonin"
"9064","Buprenorphine","hallucinogen","III","Y","Buprenex, Temgesic, Subutex, Suboxone"
"2100","Butabarbital (secbutabarbital)","depressant","III","N","Butisol, Butibel"
"2100","Butalbital","depressant","III","N","Fiorinal, Butalbital with aspirin"
"2100","Butobarbital (butethal)","depressant","III","N","Soneryl (UK)"
"9751","Butonitazene  (2-(2-(4-butoxybenzyl)-5-nitro-1H-benzimidazol-1-yl)-N,N-diethylethan-1-amine)","","I","Y",""
"9720","Butorphanol","other","IV","N","Stadol, Stadol NS, Torbugesic, Torbutrol"
"7541","Butylone","stimulant","I","N","bk-MBDB; 1-(1,3-benzodioxol-5-yl)-2- (methylamino)butan-1-one) (Positional Isomers: 	 dimethylone (bk-MDDMA; MDDMC), N,N-dimethyl-3,4- methylenedioxycathinone)"
"9822","Butyryl Fentanyl","opioid","I","Y","N-(1-phenethylpiperidin-4-yl)-N-phenylbutyramide, N- (1-phenethylpiperidin-4-yl)-N-phenylbutanamide"
"4000","calusterone (7β,17α-dimethyl-17β-hydroxyandrost-4-en-3-one)","steroid","III","N","Methosarb"
"2749","Camazepam","depressant","IV","N","Albego, Limpidon, Paxor"
"9743","Carfentanil","opioid","II","Y","Wildnil"
"8192","Carisoprodol","depressant","IV","N","Soma"
"1230","Cathine","stimulant","IV","N","Constituent of ""Khat"" plant, (+)-norpseudoephedrine"
"1235","Cathinone","stimulant","I","N","Constituent of ""Khat"" plant"
"2720","Cenobamate [(1R)-1-(2-chlorophenyl)-2-(tetrazol-2-yl)ethyl]carbamate","other","V","N","2H-tetrazole-2-ethanol, alpha-(2-chlorophenyl)-, carbamate (ester), (alphaR)-; carbamic acid (R)-(+)-1- (2-chlorophenyl)-2-(2H-tetrazol-2-yl)ethyl ester)"
"2460","Chloral betaine","depressant","IV","N","Beta Chlor"
"2465","Chloral hydrate","depressant","IV","N","Noctec"
"2744","Chlordiazepoxide","depressant","IV","N","Librium, Libritabs, Limbitrol, SK-Lygen"
"2510","Chlorhexadol","depressant","III","N","Mechloral, Mecoral, Medodorm, Chloralodol"
"1645","Chlorphentermine","stimulant","III","N","Pre-Sate, Lucofen, Apsedon, Desopimon"
"2751","Clobazam","depressant","IV","N","Urbadan, Urbanyl"
"2737","Clonazepam","depressant","IV","N","Klonopin, Clonopin"
"2786","Clonazolam (6-(2-chlorophenyl)-1-methyl-8-nitro-4H-benzo[f][1,2,4]triazolo[4,3-a][1,4]diazepine","","I","N",""
"9612","Clonitazene","opioid","I","Y",""
"2768","Clorazepate","depressant","IV","N","Tranxene"
"1647","Clortermine","stimulant","III","N","Voranil"
"4000","clostebol (4-chloro-17β-hydroxyandrost-4-en-3-one)","steroid","III","N","Alfa-Trofodermin, Clostene, 4-chlorotestosterone"
"2752","Clotiazepam","depressant","IV","N","Trecalmo, Rize, Clozan, Veratran"
"2753","Cloxazolam","depressant","IV","N","Akton, Lubalix, Olcadil, Sepazon"
"9040","Coca Leaves","stimulant","II","Y",""
"9041","Cocaine","stimulant","II","Y","Methyl benzoylecgonine, Crack"
"9050","Codeine","opioid","II","Y","Morphine methyl ester, methyl morphine"
"9803","Codeine & isoquinoline alkaloid 90 mg/du","hallucinogen","III","Y","Codeine with papaverine or noscapine"
"9804","Codeine combination product 90 mg/du","hallucinogen","III","Y","Empirin,Fiorinal,Tylenol,ASA or APAP w/codeine"
"9070","Codeine methylbromide","cannabimimetic agent","I","Y",""
"n/a","Codeine preparations - 200 mg/(100 ml or 100 gm)","opioid","V","Y","Cosanyl,Robitussin A-C,Cheracol,Cerose,Pediacof"
"9053","Codeine-N-oxide","cannabimimetic agent","I","Y",""
"7297","CP-47,497 (5-(1,1-Dimethylheptyl)-2-[(1R,3S)-3-hydroxycyclohexy]-phenol)","cannabimimetic agent","I","N","CP-47,497"
"7298","CP-47,497 C8 Homologue (5-(1,1-Dimethyloctyl)-2-[(1R,3S)3-hydroxycyclohexyl]-phenol)","cannabimimetic agent","I","N","CP-47,497 C8 Homologue"
"9844","Crotonyl fentanyl ((E)-N-(1-phenethylpiperidin-4-yl)-N-phenylbut-2-enamide)","opioid","I","Y",""
"7093","CUMYL-PEGACLONE (5-pentyl-2-(2-phenylpropan-2-yl)pyrido[4,3-b]indol-1-one)","","I","N","CUMYL-PEGACLONE; SGT-151"
"9847","Cyclopentyl fentanyl","opioid","I","Y","N-(1-phenethylpiperidin-4-yl)-N- phenylcyclopentanecarboxamide"
"9845","Cyclopropyl Fentanyl","opioid","I","Y","N-(1-phenethylpiperidin-4-yl)-N- phenylcyclopropanecarboxamide"
"9054","Cyprenorphine","cannabimimetic agent","I","Y",""
"2410","Daridorexant [(S)-2-(5-chloro-4-methyl-1H benzo[d]imidazol-2-yl)-2-methylpyrrolidin-1-yl](5-methoxy-2-(2H-1,2,3-triazol-2-yl)phenyl)methanone","depressant","IV","N","QUVIVIQ"
"4000","dehydrochloromethyltestosterone (4-chloro-17β-hydroxy-17α-methyl-androst-1,4-dien-3-one)","steroid","III","N","Oral-Turinabol"
"2754","Delorazepam","depressant","IV","N",""
"9055","Desomorphine","cannabimimetic agent","I","Y",""
"4000","desoxymethyltestosterone (17α-methyl-5α-androst-2-en-17β-ol)","steroid","III","N","Madol"
"9613","Dextromoramide","opioid","I","Y","Palfium, Jetrium, Narcolo"
"9278","Dextropropoxyphene dosage forms","narcotic","IV","Y","Darvon, propoxyphene, Darvocet, Propacet"
"9273","Dextropropoxyphene, bulk (non-dosage forms)","opioid","II","Y","Propoxyphene"
"9615","Diampromide","opioid","I","Y",""
"2765","Diazepam","depressant","IV","N","Valium, Diastat"
"2467","Dichloralphenazone","depressant","IV","N","Midrin, dichloralantipyrine"
